radius,min_n,smooth_iters,alpha,mu,n_valid,planarity_norm,coherence,null,stability,gain_vs_null
120.0,100,3,0.7,5.0,4026,0.5683111448562157,1.4555528255375072,32.958042229294115,44.69622006493021,31.50248940375661
180.0,225,3,0.7,0.0,4184,0.8924087195484269,37.981761799035304,54.98924568316618,46.21782141847597,17.007483884130878
180.0,225,2,0.5,0.0,4184,0.7545547911313684,54.90233267414726,57.660309340442765,46.76444930302519,2.757976666295505
180.0,225,1,0.5,0.0,4184,0.7544833051644229,55.00885241714174,58.08570706086681,47.18888002740402,3.0768546437250706
120.0,100,3,0.7,0.0,4026,0.8596651545003846,38.87559528546706,58.43607358310693,47.44554127444498,19.560478297639875
180.0,225,0,0.0,0.0,4184,0.7576548489444512,54.97696094730226,58.27627858105741,47.60355388604792,3.2993176337551517
120.0,100,1,0.5,0.0,4026,0.8230117941512716,54.08805667589057,58.61315425021764,49.52993293906586,4.52509757432707
120.0,100,2,0.5,0.0,4026,0.8230221987750808,53.59061206841588,58.38489360863808,50.24471862838122,4.794281540222201
120.0,100,0,0.0,0.0,4026,0.8151918083101024,54.41625530246415,58.743086750462936,51.12946867120415,4.326831447998785
120.0,100,3,0.7,1.0,4026,0.6164469800030754,3.5054226075070205,46.66806979996439,51.17079758492426,43.16264719245737
60.0,25,3,0.7,0.0,3139,0.9990798383896377,42.397393517998104,58.53999976645788,52.982909207291854,16.142606248459778
60.0,25,3,0.7,5.0,3139,0.5948484555616615,4.6727756726737475,42.32324683959074,54.39074232130405,37.65047116691699
120.0,100,2,0.5,5.0,4026,0.5689475642859825,1.9748815145477285,14.255683471667734,54.78506587051467,12.280801957120005
80.0,44,3,0.7,0.0,3727,0.9247960802742167,38.20396598092872,57.68318519760954,54.96385003403881,19.479219216680818
80.0,44,2,0.5,0.0,3727,0.8884305132100876,54.610688860852825,59.352322351433166,54.97320314002211,4.741633490580341
40.0,11,0,0.0,1.0,1606,0.7934223450783637,11.013799450559135,29.197001029913977,56.31034449716314,18.183201579354844
120.0,100,1,0.5,5.0,4026,0.5669333359188014,1.9233891709062392,16.96831484531618,56.711551959316836,15.04492567440994
80.0,44,1,0.5,0.0,3727,0.8930830799399515,55.76856329995604,59.43014784209962,57.02833489750712,3.6615845421435793
80.0,44,0,0.0,0.0,3727,0.8918995282132915,56.340734455375205,59.363663366218965,57.38562828206422,3.02292891084376
180.0,225,0,0.0,5.0,4184,0.3464935086358429,2.6066906189544237,41.79603916873151,57.60773802855235,39.18934854977709
120.0,100,0,0.0,5.0,4026,0.5677037490134555,2.0165815867580283,25.921807354986647,57.73525739852124,23.905225768228618
60.0,25,2,0.5,0.0,3139,0.9914259397771533,53.687154622048325,59.51976922843541,57.99456147483825,5.832614606387082
60.0,25,0,0.0,0.0,3139,1.0,55.97723040038497,59.52240103703987,58.16925095515371,3.545170636654902
60.0,25,3,0.7,1.0,3139,0.695965397461772,11.984973492542913,43.99197668376573,58.207037228798725,32.007003191222815
60.0,25,1,0.5,0.0,3139,1.0,55.78601847387014,59.475573291985725,58.453864120142796,3.6895548181155817
40.0,11,1,0.5,1.0,1606,0.7853683071011816,12.178952612170402,30.417876052373714,58.66479145877181,18.238923440203312
80.0,44,3,0.7,1.0,3727,0.5644467261679883,7.794550617412853,50.62394429931316,59.00057703776312,42.82939368190031
40.0,11,0,0.0,5.0,1606,0.6709597491736288,3.7120774498082154,22.386854360618663,59.132612077116896,18.674776910810447
120.0,100,2,0.5,1.0,4026,0.5649047678102908,4.686040416810889,19.187451450149737,59.13488105666944,14.501411033338847
80.0,44,3,0.7,5.0,3727,0.516233559423881,3.3042412249458737,45.90505643861866,59.398250405847385,42.60081521367278
40.0,11,2,0.5,0.0,1606,1.0,55.05974933909903,59.64344521659531,59.4070646204609,4.583695877496282
40.0,11,1,0.5,0.0,1606,1.0,55.53853640497487,59.643213469899436,60.174700179940885,4.104677064924566
40.0,11,3,0.7,0.0,1606,1.0,45.93112965255053,58.23473626008388,60.22648472195435,12.303606607533347
40.0,11,0,0.0,0.0,1606,1.0,55.214029397281934,59.84946047900233,60.32915275199095,4.635431081720398
120.0,100,1,0.5,1.0,4026,0.5696376078043415,4.737640703150095,22.17921237256124,60.546346986319385,17.441571669411143
120.0,100,0,0.0,1.0,4026,0.5698407370081936,4.8230502392830115,23.334945977177416,60.69421951067622,18.511895737894406
40.0,11,2,0.5,1.0,1606,0.7769579626108751,12.832985161388656,31.606881194681833,61.28690039083455,18.773896033293177
60.0,25,2,0.5,1.0,3139,0.6245237993046057,15.315531747388171,35.27814017063828,61.95039429590569,19.96260842325011
40.0,11,1,0.5,5.0,1606,0.6494301659208186,3.838344949367736,23.148063090360438,62.05462598154644,19.3097181409927
180.0,225,2,0.5,1.0,4184,0.48222431012512157,5.012618428633337,31.489201709572136,62.18314171871876,26.476583280938797
60.0,25,2,0.5,5.0,3139,0.574425816145869,5.166981191512971,29.402369192329555,62.90521501938522,24.235388000816585
180.0,225,1,0.5,5.0,4184,0.3482675096961194,2.3987074343823336,40.389729392216154,62.95433827632972,37.99102195783382
40.0,11,3,0.7,5.0,1606,0.691423449362687,3.0348209645437336,33.74828134491757,63.261871314587566,30.71346038037384
180.0,225,0,0.0,1.0,4184,0.48222244388651203,5.067051392516484,33.61220109956621,63.39048154380954,28.545149707049724
180.0,225,1,0.5,1.0,4184,0.489135619277887,5.131562228945052,33.36918064189649,63.42120295677461,28.23761841295144
60.0,25,1,0.5,1.0,3139,0.6151269860296313,14.39066501441102,36.84212022271943,64.28069571574856,22.45145520830841
80.0,44,1,0.5,1.0,3727,0.4976300745367126,10.84143198741503,36.78264673761192,65.04903723924122,25.94121475019689
80.0,44,1,0.5,5.0,3727,0.46020437178657136,4.12204035393086,35.52378963001992,65.18032761340443,31.40174927608906
80.0,44,0,0.0,1.0,3727,0.4967891269199637,9.700115411116638,37.61946837591341,65.27432679669533,27.91935296479677
60.0,25,0,0.0,1.0,3139,0.6151708524323727,14.629366439029013,37.40066664672152,65.5430062503773,22.771300207692505
80.0,44,0,0.0,5.0,3727,0.4628984430746588,4.007292851892146,36.40532670707687,65.6878740526564,32.39803385518472
80.0,44,2,0.5,5.0,3727,0.45092431833966107,4.2918362678096855,30.485147605555824,65.96429542546171,26.193311337746138
40.0,11,2,0.5,5.0,1606,0.6523865695361166,3.9257618999555453,23.499684606177432,65.98001031488013,19.573922706221886
60.0,25,1,0.5,5.0,3139,0.49495873624280545,5.020049389487555,29.95586576186999,66.07087919326479,24.935816372382433
40.0,11,3,0.7,1.0,1606,0.8327361886794655,9.876897761736814,40.736454821427024,66.25244478867401,30.85955705969021
80.0,44,2,0.5,1.0,3727,0.49160705587291925,12.120224057620339,31.583751272009785,66.44600980654673,19.463527214389444
60.0,25,0,0.0,5.0,3139,0.474762022963649,5.19230260688905,30.997588841131304,67.86048025316943,25.805286234242253
180.0,225,2,0.5,5.0,4184,0.3566814074914504,2.1751576537121435,36.61808485108544,69.62598063106114,34.4429271973733
180.0,225,3,0.7,1.0,4184,0.7348634261988174,2.742704717362384,22.554987730392995,72.19033631057886,19.812283013030612
180.0,225,3,0.7,5.0,4184,0.5259672898207934,1.3023281934623532,19.347459212222653,75.03031760895516,18.045131018760298
